饰物名字	大类型	副类型	详细类别	重量	价格	五行	耐久	"防御力(外,内)"	附加属性1	附加属性1数值	附加属性2	附加属性2数值	套装编号	要求等级	要求性别	要求体型	要求门派	在界面上显示的小图	在界面上显示的大图	说明文字	装备在身上的时候，使用的显示类型名字	丢落在地面的时候，使用哪一个物件资源	脚本文件	评价等级	是否能交易(0能1不能)	是否能丢弃(0能1不能)	流派需求	是否可维修（0是/1否）
御龙元帅虎符	0	102	3002	10	10000	0	100						23003	80	2	3	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"大宋皇帝亲自御点之大元帅,持御龙虎符,统天下兵马,宋帝为嘉其战功,彰其勇谋,乃御赐大元帅战袍。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
御龙元帅虎符	0	102	3003	10	10000	0	100						23004	80	2	4	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"大宋皇帝亲自御点之大元帅,持御龙虎符,统天下兵马,宋帝为嘉其战功,彰其勇谋,乃御赐大元帅战袍。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
御龙元帅令旗	0	102	3004	10	10000	0	100						23001	80	1	1	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"大宋皇帝亲自御点之大元帅,持御龙虎符,统天下兵马,宋帝为嘉其战功,彰其勇谋,乃御赐大元帅战袍。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
御龙元帅令旗	0	102	3005	10	10000	0	100						23002	80	1	2	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"大宋皇帝亲自御点之大元帅,持御龙虎符,统天下兵马,宋帝为嘉其战功,彰其勇谋,乃御赐大元帅战袍。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
御龙元帅令旗	0	102	3006	10	10000	0	100						23003	80	2	3	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"大宋皇帝亲自御点之大元帅,持御龙虎符,统天下兵马,宋帝为嘉其战功,彰其勇谋,乃御赐大元帅战袍。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
御龙元帅令旗	0	102	3007	10	10000	0	100						23004	80	2	4	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"大宋皇帝亲自御点之大元帅,持御龙虎符,统天下兵马,宋帝为嘉其战功,彰其勇谋,乃御赐大元帅战袍。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
御龙元帅号符	0	102	3008	10	10000	0	100						23001	80	1	1	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"大宋皇帝亲自御点之大元帅,持御龙虎符,统天下兵马,宋帝为嘉其战功,彰其勇谋,乃御赐大元帅战袍。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
御龙元帅号符	0	102	3009	10	10000	0	100						23002	80	1	2	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"大宋皇帝亲自御点之大元帅,持御龙虎符,统天下兵马,宋帝为嘉其战功,彰其勇谋,乃御赐大元帅战袍。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
御龙元帅号符	0	102	3010	10	10000	0	100						23003	80	2	3	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"大宋皇帝亲自御点之大元帅,持御龙虎符,统天下兵马,宋帝为嘉其战功,彰其勇谋,乃御赐大元帅战袍。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
御龙元帅号符	0	102	3011	10	10000	0	100						23004	80	2	4	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"大宋皇帝亲自御点之大元帅,持御龙虎符,统天下兵马,宋帝为嘉其战功,彰其勇谋,乃御赐大元帅战袍。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
御龙元帅号旗	0	102	3012	10	10000	0	100						23001	80	1	1	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"大宋皇帝亲自御点之大元帅,持御龙虎符,统天下兵马,宋帝为嘉其战功,彰其勇谋,乃御赐大元帅战袍。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
御龙元帅号旗	0	102	3013	10	10000	0	100						23002	80	1	2	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"大宋皇帝亲自御点之大元帅,持御龙虎符,统天下兵马,宋帝为嘉其战功,彰其勇谋,乃御赐大元帅战袍。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
御龙元帅号旗	0	102	3014	10	10000	0	100						23003	80	2	3	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"大宋皇帝亲自御点之大元帅,持御龙虎符,统天下兵马,宋帝为嘉其战功,彰其勇谋,乃御赐大元帅战袍。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
御龙元帅号旗	0	102	3015	10	10000	0	100						23004	80	2	4	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"大宋皇帝亲自御点之大元帅,持御龙虎符,统天下兵马,宋帝为嘉其战功,彰其勇谋,乃御赐大元帅战袍。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
昭圣元帅虎符	0	102	3016	10	10000	0	100						23005	80	1	1	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"大辽皇帝钦点之大元帅,出幽州总兵,辽帝御赐战袍,以彰显其无双之武勇,盖世之战功,昭其王佐之才。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
昭圣元帅虎符	0	102	3017	10	10000	0	100						23006	80	1	2	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"大辽皇帝钦点之大元帅,出幽州总兵,辽帝御赐战袍,以彰显其无双之武勇,盖世之战功,昭其王佐之才。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
昭圣元帅虎符	0	102	3018	10	10000	0	100						23007	80	2	3	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"大辽皇帝钦点之大元帅,出幽州总兵,辽帝御赐战袍,以彰显其无双之武勇,盖世之战功,昭其王佐之才。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
昭圣元帅虎符	0	102	3019	10	10000	0	100						23008	80	2	4	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"大辽皇帝钦点之大元帅,出幽州总兵,辽帝御赐战袍,以彰显其无双之武勇,盖世之战功,昭其王佐之才。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
昭圣元帅令旗	0	102	3020	10	10000	0	100						23005	80	1	1	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"大辽皇帝钦点之大元帅,出幽州总兵,辽帝御赐战袍,以彰显其无双之武勇,盖世之战功,昭其王佐之才。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
昭圣元帅令旗	0	102	3021	10	10000	0	100						23006	80	1	2	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"大辽皇帝钦点之大元帅,出幽州总兵,辽帝御赐战袍,以彰显其无双之武勇,盖世之战功,昭其王佐之才。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
昭圣元帅令旗	0	102	3022	10	10000	0	100						23007	80	2	3	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"大辽皇帝钦点之大元帅,出幽州总兵,辽帝御赐战袍,以彰显其无双之武勇,盖世之战功,昭其王佐之才。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
昭圣元帅令旗	0	102	3023	10	10000	0	100						23008	80	2	4	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"大辽皇帝钦点之大元帅,出幽州总兵,辽帝御赐战袍,以彰显其无双之武勇,盖世之战功,昭其王佐之才。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
昭圣元帅号符	0	102	3024	10	10000	0	100						23005	80	1	1	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"大辽皇帝钦点之大元帅,出幽州总兵,辽帝御赐战袍,以彰显其无双之武勇,盖世之战功,昭其王佐之才。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
昭圣元帅号符	0	102	3025	10	10000	0	100						23006	80	1	2	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"大辽皇帝钦点之大元帅,出幽州总兵,辽帝御赐战袍,以彰显其无双之武勇,盖世之战功,昭其王佐之才。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
昭圣元帅号符	0	102	3026	10	10000	0	100						23007	80	2	3	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"大辽皇帝钦点之大元帅,出幽州总兵,辽帝御赐战袍,以彰显其无双之武勇,盖世之战功,昭其王佐之才。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
昭圣元帅号符	0	102	3027	10	10000	0	100						23008	80	2	4	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	"大辽皇帝钦点之大元帅,出幽州总兵,辽帝御赐战袍,以彰显其无双之武勇,盖世之战功,昭其王佐之才。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
昭圣元帅号旗	0	102	3028	10	10000	0	100						23005	80	1	1	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"大辽皇帝钦点之大元帅,出幽州总兵,辽帝御赐战袍,以彰显其无双之武勇,盖世之战功,昭其王佐之才。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
昭圣元帅号旗	0	102	3029	10	10000	0	100						23006	80	1	2	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"大辽皇帝钦点之大元帅,出幽州总兵,辽帝御赐战袍,以彰显其无双之武勇,盖世之战功,昭其王佐之才。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
昭圣元帅号旗	0	102	3030	10	10000	0	100						23007	80	2	3	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"大辽皇帝钦点之大元帅,出幽州总兵,辽帝御赐战袍,以彰显其无双之武勇,盖世之战功,昭其王佐之才。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
昭圣元帅号旗	0	102	3031	10	10000	0	100						23008	80	2	4	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	"大辽皇帝钦点之大元帅,出幽州总兵,辽帝御赐战袍,以彰显其无双之武勇,盖世之战功,昭其王佐之才。"		已绑定装备	\script\newbattles\battle_equipment_item.lua	10	1	1		0
辉煌之始	0	102	8840	1	1		20						88040	80				\image\item\ring\辉煌之始a1.spr	\image\item\ring\辉煌之始a0.spr	代表东方国度的金色戒指，上面刻着1984这个数字		已绑定装备		7	1	1		0
荣耀之始	0	102	8841	1	1		20						88040	80				\image\item\ring\荣耀之始a1.spr	\image\item\ring\荣耀之始a0.spr	代表荣誉的绿玉戒指，上面刻着15，8，9几个数字		已绑定装备		7	1	1		0
辉煌之继	0	102	8842	1	1		20						88042	80				\image\item\ring\辉煌之继a1.spr	\image\item\ring\辉煌之继a0.spr	代表东方国度的金色戒指，上面刻着1988，1992，1996，2000几个数字		已绑定装备		8	1	1		0
荣耀之继	0	102	8843	1	1		20						88042	80				\image\item\ring\荣耀之继a1.spr	\image\item\ring\荣耀之继a0.spr	代表荣誉的绿玉戒指，上面刻着5，16，16，28几个数字		已绑定装备		8	1	1		0
辉煌之崛起	0	102	8844	1	1		20						88044	80				\image\item\ring\辉煌之崛起a1.spr	\image\item\ring\辉煌之崛起a0.spr	代表东方国度的金色戒指，上面刻着2004这个数字		已绑定装备		9	1	1		0
荣耀之崛起	0	102	8845	1	1		20						88044	80				\image\item\ring\荣耀之崛起a1.spr	\image\item\ring\荣耀之崛起a0.spr	代表荣誉的绿玉戒指，上面刻着32，17，14几个数字		已绑定装备		9	1	1		0
辉煌	0	102	8846	1	1		20						88046	80				\image\item\ring\辉煌a1.spr	\image\item\ring\辉煌a0.spr	代表东方国度的金色戒指，上面刻着2008这个数字，戴上以后有一种让人自豪的感觉		已绑定装备		10	1	1		0
荣耀	0	102	8847	1	1		20						88046	80				\image\item\ring\荣耀a1.spr	\image\item\ring\荣耀a0.spr	代表荣誉的绿玉戒指，上面刻着51，21，28几个数字，荣耀与你同在		已绑定装备		10	1	1		0
紫辕战	0	102	8851	10	10000	0	100						88051	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	2	0
紫辕斗	0	102	8852	10	10000	0	100						88051	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	2	0
紫辕战	0	102	8853	10	10000	0	100						88052	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	3	0
紫辕斗	0	102	8854	10	10000	0	100						88052	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	3	0
紫辕战	0	102	8855	10	10000	0	100						88053	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	4	0
紫辕斗	0	102	8856	10	10000	0	100						88053	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	4	0
紫辕战	0	102	8857	10	10000	0	100						88054	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	6	0
紫辕斗	0	102	8858	10	10000	0	100						88054	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	6	0
紫辕战	0	102	8859	10	10000	0	100						88055	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	8	0
紫辕斗	0	102	8860	10	10000	0	100						88055	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	8	0
紫辕战	0	102	8861	10	10000	0	100						88056	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	9	0
紫辕斗	0	102	8862	10	10000	0	100						88056	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	9	0
紫辕战	0	102	8863	10	10000	0	100						88057	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	11	0
紫辕斗	0	102	8864	10	10000	0	100						88057	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	11	0
紫辕战	0	102	8865	10	10000	0	100						88058	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	12	0
紫辕斗	0	102	8866	10	10000	0	100						88058	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	12	0
紫辕战	0	102	8867	10	10000	0	100						88059	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	14	0
紫辕斗	0	102	8868	10	10000	0	100						88059	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	14	0
紫辕战	0	102	8869	10	10000	0	100						88060	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	15	0
紫辕斗	0	102	8870	10	10000	0	100						88060	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	15	0
紫辕战	0	102	8871	10	10000	0	100						88061	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	17	0
紫辕斗	0	102	8872	10	10000	0	100						88061	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	17	0
紫辕战	0	102	8873	10	10000	0	100						88062	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	18	0
紫辕斗	0	102	8874	10	10000	0	100						88062	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	18	0
紫辕战	0	102	8875	10	10000	0	100						88063	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	20	0
紫辕斗	0	102	8876	10	10000	0	100						88063	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	20	0
紫辕战	0	102	8877	10	10000	0	100						88064	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	21	0
紫辕斗	0	102	8878	10	10000	0	100						88064	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		8	2	1	21	0
紫辕战	0	102	8885	10	5000	0	100						88069	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		9	2	1	27	0
紫辕斗	0	102	8886	10	5000	0	100						88069	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		9	2	1	27	0
紫辕战	0	102	8887	10	5000	0	100						88070	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		9	2	1	29	0
紫辕斗	0	102	8888	10	5000	0	100						88070	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		9	2	1	29	0
紫辕战	0	102	8889	10	5000	0	100						88071	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		9	2	1	30	0
紫辕斗	0	102	8890	10	5000	0	100						88071	85			新手禁用	\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	铸造轩辕系列装备失败时的残片，将其置于紫光神兽血液中再次唤起藏于其中的无边战意。		饰物		9	2	1	30	0
天之宋将军令牌	0	102	3032	10	10000	0	100						23009	80	1	1	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	将军乃三军之胆，杀场战将，破千军而无伤于身，上天庇佑之人所着之物。		已绑定装备	\script\newbattles\battle_equipment_item.lua	9	1	1		0
天之宋将军令牌	0	102	3033	10	10000	0	100						23010	80	1	2	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	将军乃三军之胆，杀场战将，破千军而无伤于身，上天庇佑之人所着之物。		已绑定装备	\script\newbattles\battle_equipment_item.lua	9	1	1		0
天之宋将军令牌	0	102	3034	10	10000	0	100						23011	80	2	3	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	将军乃三军之胆，杀场战将，破千军而无伤于身，上天庇佑之人所着之物。		已绑定装备	\script\newbattles\battle_equipment_item.lua	9	1	1		0
天之宋将军令牌	0	102	3035	10	10000	0	100						23012	80	2	4	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	将军乃三军之胆，杀场战将，破千军而无伤于身，上天庇佑之人所着之物。		已绑定装备	\script\newbattles\battle_equipment_item.lua	9	1	1		0
天之宋将军令旗	0	102	3036	10	10000	0	100						23009	80	1	1	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	将军乃三军之胆，杀场战将，破千军而无伤于身，上天庇佑之人所着之物。		已绑定装备	\script\newbattles\battle_equipment_item.lua	9	1	1		0
天之宋将军令旗	0	102	3037	10	10000	0	100						23010	80	1	2	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	将军乃三军之胆，杀场战将，破千军而无伤于身，上天庇佑之人所着之物。		已绑定装备	\script\newbattles\battle_equipment_item.lua	9	1	1		0
天之宋将军令旗	0	102	3038	10	10000	0	100						23011	80	2	3	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	将军乃三军之胆，杀场战将，破千军而无伤于身，上天庇佑之人所着之物。		已绑定装备	\script\newbattles\battle_equipment_item.lua	9	1	1		0
天之宋将军令旗	0	102	3039	10	10000	0	100						23012	80	2	4	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	将军乃三军之胆，杀场战将，破千军而无伤于身，上天庇佑之人所着之物。		已绑定装备	\script\newbattles\battle_equipment_item.lua	9	1	1		0
天之宋将军令符	0	102	3040	10	10000	0	100						23009	80	1	1	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	将军乃三军之胆，杀场战将，破千军而无伤于身，上天庇佑之人所着之物。		已绑定装备	\script\newbattles\battle_equipment_item.lua	9	1	1		0
天之宋将军令符	0	102	3041	10	10000	0	100						23010	80	1	2	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	将军乃三军之胆，杀场战将，破千军而无伤于身，上天庇佑之人所着之物。		已绑定装备	\script\newbattles\battle_equipment_item.lua	9	1	1		0
天之宋将军令符	0	102	3042	10	10000	0	100						23011	80	2	3	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	将军乃三军之胆，杀场战将，破千军而无伤于身，上天庇佑之人所着之物。		已绑定装备	\script\newbattles\battle_equipment_item.lua	9	1	1		0
天之宋将军令符	0	102	3043	10	10000	0	100						23012	80	2	4	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	将军乃三军之胆，杀场战将，破千军而无伤于身，上天庇佑之人所着之物。		已绑定装备	\script\newbattles\battle_equipment_item.lua	9	1	1		0
天之辽将军令牌	0	102	3044	10	10000	0	100						23013	80	1	1	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	将军乃三军之胆，杀场战将，破千军而无伤于身，上天庇佑之人所着之物。		已绑定装备	\script\newbattles\battle_equipment_item.lua	9	1	1		0
天之辽将军令牌	0	102	3045	10	10000	0	100						23014	80	1	2	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	将军乃三军之胆，杀场战将，破千军而无伤于身，上天庇佑之人所着之物。		已绑定装备	\script\newbattles\battle_equipment_item.lua	9	1	1		0
天之辽将军令牌	0	102	3046	10	10000	0	100						23015	80	2	3	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	将军乃三军之胆，杀场战将，破千军而无伤于身，上天庇佑之人所着之物。		已绑定装备	\script\newbattles\battle_equipment_item.lua	9	1	1		0
天之辽将军令牌	0	102	3047	10	10000	0	100						23016	80	2	4	新手禁用	\image\item\ring\将军将令1a1.spr	\image\item\ring\将军将令1a0.spr	将军乃三军之胆，杀场战将，破千军而无伤于身，上天庇佑之人所着之物。		已绑定装备	\script\newbattles\battle_equipment_item.lua	9	1	1		0
天之辽将军令旗	0	102	3048	10	10000	0	100						23013	80	1	1	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	将军乃三军之胆，杀场战将，破千军而无伤于身，上天庇佑之人所着之物。		已绑定装备	\script\newbattles\battle_equipment_item.lua	9	1	1		0
天之辽将军令旗	0	102	3049	10	10000	0	100						23014	80	1	2	新手禁用	\image\item\ring\将军令旗1a1.spr	\image\item\ring\将军令旗1a0.spr	将军乃三军之胆，杀场战将，破千军而无伤于身，上天庇佑之人所着之物。		已绑定装备	\script\newbattles\battle_equipment_item.lua	9	1	1		0
